"Name","Team","SwStr%","Pitches","playerid"
"Albert Suarez","Giants","8.3 %","1373","6175"
"Jonathan Broxton","Cardinals","10.0 %","1002","4759"
"Mike Foltynewicz","Braves","10.0 %","2120","10811"
"Andrew Triggs","Athletics","10.2 %","929","13533"
"Steve Johnson","Mariners","6.6 %","301","4053"
"Tom Koehler","Marlins","9.7 %","3089","6570"
"Collin McHugh","Astros","10.7 %","3159","7531"
"Keyvius Sampson","Reds","10.2 %","796","10039"
"JC Ramirez","- - -","9.5 %","1242","8302"
"Ryan Garton","Rays","9.2 %","695","14016"
"Luis Cessa","Yankees","10.8 %","1052","13345"
"Juan Minaya","White Sox","9.4 %","180","10341"
"Chad Girodo","Blue Jays","9.0 %","144","15542"
"Mike Morin","Angels","12.2 %","848","13442"
"Marcus Stroman","Blue Jays","9.3 %","3102","13431"
"Zack Greinke","Diamondbacks","10.4 %","2503","1943"
"Matt Andriese","Rays","10.3 %","1983","12022"
"Jonathan Papelbon","Nationals","10.4 %","570","5975"
"Jim Henderson","Mets","9.9 %","648","6653"
"Chase Anderson","Brewers","8.3 %","2639","6895"
"Martin Perez","Rangers","7.9 %","3078","6902"
"Josh Tomlin","Indians","7.4 %","2612","9388"
"Ricky Nolasco","- - -","9.2 %","3127","3830"
"Arodys Vizcaino","Braves","13.8 %","720","5498"
"Michael Feliz","Astros","13.6 %","1148","11903"
"Jesse Chavez","- - -","9.0 %","1123","5448"
"Randall Delgado","Diamondbacks","9.9 %","1355","5985"
"Yordano Ventura","Royals","9.2 %","3048","11855"
"R.A. Dickey","Blue Jays","10.6 %","2742","1245"
"Trevor Rosenthal","Cardinals","11.3 %","858","10745"
"Mike Fiers","Astros","8.9 %","2771","7754"
"Juan Nicasio","Pirates","10.1 %","2165","7731"
"Yusmeiro Petit","Nationals","8.6 %","968","4020"
"Craig Breslow","Marlins","8.1 %","210","4363"
"James Hoyt","Astros","15.2 %","375","14605"
"Matt Garza","Brewers","7.8 %","1717","3340"
"Brandon Maurer","Padres","11.6 %","1229","4878"
"Antonio Bastardo","- - -","13.8 %","1223","8844"
"Matt Boyd","Tigers","9.5 %","1683","15440"
"Daniel Coulombe","Athletics","13.7 %","731","13293"
"Erik Goeddel","Mets","11.6 %","630","11712"
"Dallas Keuchel","Astros","9.6 %","2670","9434"
"Scott Kazmir","Dodgers","9.6 %","2392","4897"
"Gio Gonzalez","Nationals","9.4 %","3116","7448"
"Buck Farmer","Tigers","10.3 %","505","14814"
"Jon Gray","Rockies","12.1 %","2793","14916"
"Jimmy Nelson","Brewers","7.4 %","2984","10547"
"Adam Wainwright","Cardinals","8.1 %","3195","2233"
"Josh Fields","- - -","13.3 %","610","5070"
"Doug Fister","Astros","5.9 %","3000","9425"
"Nick Goody","Yankees","15.0 %","528","13685"
"Ross Ohlendorf","Reds","10.5 %","1138","8268"
"Jaime Garcia","Cardinals","9.2 %","2578","8137"
"Blake Parker","- - -","11.1 %","334","5224"
"Josh Smith","Reds","10.7 %","1042","10946"
"Dillon Gee","Royals","8.1 %","2047","7396"
"Corey Knebel","Brewers","7.7 %","612","15010"
"Adam Warren","- - -","10.1 %","1185","9029"
"Mike Leake","Cardinals","7.2 %","2659","10130"
"Louis Coleman","Dodgers","12.4 %","889","9720"
"Francisco Liriano","- - -","11.4 %","2793","3201"
"Josh Smoker","Mets","14.7 %","258","10285"
"J.T. Chargois","Twins","8.2 %","364","13767"
"Hector Santiago","- - -","8.4 %","3172","4026"
"Josh Osich","Giants","10.4 %","576","11528"
"Eduardo Rodriguez","Red Sox","10.6 %","1854","13164"
"Chad Green","Yankees","12.3 %","836","15552"
"Jake McGee","Rockies","8.6 %","842","7550"
"Nathan Eovaldi","Yankees","9.3 %","2064","9132"
"Clay Buchholz","Red Sox","9.5 %","2226","3543"
"Aaron Nola","Phillies","9.6 %","1796","16149"
"Chad Bettis","Rockies","8.7 %","3055","10587"
"Christian Friedrich","Padres","8.5 %","2139","7942"
"Brad Boxberger","Rays","10.0 %","471","10133"
"Ryan Vogelsong","Pirates","6.4 %","1390","1011"
"Jhoulys Chacin","- - -","8.3 %","2389","2608"
"Michael Pineda","Yankees","14.1 %","3017","5372"
"Colin Rea","- - -","6.4 %","1761","12317"
"Jeanmar Gomez","Phillies","7.3 %","1154","9033"
"Matt Harvey","Mets","10.1 %","1514","11713"
"Steven Brault","Pirates","10.1 %","662","15291"
"John Gant","Braves","9.7 %","943","13684"
"Wily Peralta","Brewers","8.5 %","2132","7738"
"Jordan Zimmermann","Tigers","7.7 %","1707","4505"
"Drew Smyly","Rays","10.5 %","2893","11760"
"Jeff Hoffman","Rockies","6.7 %","556","17432"
"Joel De La Cruz","Braves","8.7 %","1008","12825"
"Mat Latos","- - -","6.9 %","1184","3815"
"Robbie Ray","Diamondbacks","11.6 %","3176","11486"
"Reynaldo Lopez","Nationals","9.4 %","806","16400"
"Steve Hathaway","Diamondbacks","6.3 %","253","15293"
"Jason Motte","Rockies","7.8 %","462","5861"
"Tony Sipp","Astros","13.2 %","780","8280"
"Derek Holland","Rangers","7.8 %","1828","4141"
"Brandon McCarthy","Dodgers","7.4 %","701","4662"
"Oliver Perez","Nationals","8.9 %","723","1514"
"Wei-Yin Chen","Marlins","9.1 %","1918","13071"
"Justin Nicolino","Marlins","4.9 %","1209","11754"
"Matt Wisler","Braves","9.0 %","2438","12804"
"Archie Bradley","Diamondbacks","8.2 %","2576","12918"
"Michael Tonkin","Twins","11.0 %","1287","10315"
"Aaron Loup","Blue Jays","8.1 %","261","10343"
"Cesar Vargas","Padres","8.9 %","607","14099"
"Koda Glover","Nationals","11.2 %","312","17695"
"Jose Dominguez","Padres","7.5 %","597","11571"
"Jered Weaver","Angels","8.1 %","2835","4235"
"Dario Alvarez","- - -","13.7 %","468","14239"
"Kyle Crockett","Indians","8.8 %","285","15033"
"Mike Pelfrey","Tigers","6.6 %","2054","5203"
"A.J. Griffin","Rangers","9.1 %","2063","11132"
"Kyle Gibson","Twins","9.8 %","2468","10123"
"Michael Wacha","Cardinals","8.1 %","2324","14078"
"Bud Norris","- - -","9.1 %","2001","9492"
"Patrick Corbin","Diamondbacks","9.5 %","2539","9323"
"Nathan Karns","Mariners","10.9 %","1679","12638"
"A.J. Cole","Nationals","9.9 %","674","11467"
"Joe Kelly","Red Sox","10.4 %","739","9761"
"Chasen Shreve","Yankees","14.2 %","569","10855"
"Scott Oberg","Rockies","9.6 %","437","13911"
"Ryan Webb","Rays","8.9 %","292","7474"
"Logan Verrett","Mets","8.6 %","1570","12905"
"Daniel Hudson","Diamondbacks","12.0 %","1113","7146"
"German Marquez","Rockies","9.7 %","351","15038"
"Drew Storen","- - -","10.5 %","871","6983"
"Kirby Yates","Yankees","11.6 %","800","9073"
"Josh Edgin","Mets","9.6 %","166","10796"
"Chad Qualls","Rockies","9.9 %","534","2170"
"Carlos Estevez","Rockies","11.3 %","1025","14542"
"Drew Hutchison","- - -","11.0 %","401","10732"
"Andrew Cashner","- - -","7.3 %","2370","8782"
"Mike Clevinger","Indians","9.3 %","967","12808"
"Tyler Wilson","Orioles","6.9 %","1470","12691"
"Braden Shipley","Diamondbacks","7.9 %","1181","15158"
"Trevor May","Twins","13.2 %","841","6398"
"Gonzalez Germen","Rockies","11.0 %","739","5876"
"Dean Kiekhefer","Cardinals","8.0 %","364","10529"
"Andrew Bailey","- - -","9.8 %","795","1368"
"Wade Miley","- - -","8.8 %","2732","8779"
"Edinson Volquez","Royals","8.5 %","3232","3990"
